Present Zip Code	Gender	Race	Previous College 1 Name
84065	Female	White	Utah State University
84105	Female	White	Univeristy of Utah
84102	Female	White	University of Utah
95603	Female	White	Brigham Young University
84103	Female	White	Santa Rosa Junior College
84606	Female	White	Brigham Young University
84070	Female	White	University of Utah
84047	Female	White	Kalamazoo Valley community college
84124	Female	Native Hawaiian or Other Pacific Islander	Utah Valley University
84651	Female	White	Mountainland Applied Technology College
84606	Female	White	Brigham Young University
84057	Female	White	Brigham Young University
84060	Female	White	University of Utah
84115	Female	White	University of Utah
84020	Female	White	Salt Lake Community College
84102	Female	White	Cedarville University
84095	Female	White	Salt Lake Community College
84106	Female	White	University Of Utah
84106	Female	White	Washington State University
84103	Female	White	University of Utah
84106	Female	White	Utah Valley University
84095	Female	White	Utah Valley University
84094	Female	White	University of Utah
84003	Female	White	Brigham Young University
84604	Female	White	Brigham Young University
84123	Female	White	Salt Lake Community College
84118	Female	White	Salt Lake Community College
84121	Female	White	University of Utah
84401	Female	White	University of Wyoming
84093	Female	White	Utah Valley University
48103	Female	White	Montgomery College
84108	Female	Asian	Pusan National University
84003	Female	White	Utah Valley University
84101	Female	White	Brigham Young University
84025	Female	Black or African American	Ahmadu Bello Universiy
84102	Female	White	University of Utah
84103	Female	White	Salt Lake Community College
84062	Female	Black or African American	Pleasant Grove High School
84321	Male	White	Utah State University
84098	Male	White	Ouachita Baptist University
85712	Female	White	Paradise Valley Community College
11413	Female	Black or African American	UNIVERSITY OF ILORIN
84121	Male	More Than One Race	University of Utah
84043	Female	White	University of Utah
84108	Female	White	University of Utah
84003	Female	White	Brigham Young University
84096	Female	White	Salt Lake Community College
84074	Female	White	Utah State University
84057	Male	White	Utah Valley University
84106	Female	More Than One Race	Salt Lake Community College
84103	Male	White	Salt Lake Community College
84660	Female	White	University of Missouri
84111	Female	White	Utah State University
84058	Female	"Asian, Native Hawaiian or Other Pacific Islander"	Brigham Young University
84015	Male	White	Pasadena City College
84606	Female	White	Brigham Young University
84102	Female	White	Salt Lake Community College
84102	Male	White	University of Utah
97219	Male	White	Portland Community College
84043	Male	White	BYU-Idaho
95630	Female	Asian	DELTA COLLEGE
84058	Male	White	Utah Valley University
84081	Female	White	Utah State University
84010	Female	White	University of Utah
84790	Male	White	DIXIE STATE COLLEGE
84105	Female	White	University of Utah
84124	Female	White	University of Utah
84020	Female	Asian	Woodbury College
84037	Female	White	Weber State University
84108	Female	White	Salt Lake Community College
84111	Female	White	Salt Lake Community College
84128	Female	Native Hawaiian or Other Pacific Islander	University of Utah
84102	Female	White	Weber State University
84121	Female	White	Queen's University
84040	Female	White	Brigham Young University
84095	Female	White	Salt Lake Community College
89134	Female	White	N/A
84123	Female	White	Salt Lake Community College
84604	Female	Black or African American	Brigham Young University Provo
84108	Male	White	Rutgers University
84062	Female	White	None
84121	Female	White	Snow College
84121	Female	Asian	University of Utah
84092	Female	White	None
84606	Female	More Than One Race	Brigham Young University
84047	Female	White	Salt Lake Community College
84088	Female	White	A
84790	Male	White	Dixie State College
84108	Female	White	Brigham Young University
84108	Female	White	University of Utah
84606	Female	White	Brigham Young University
84105	Male	White	University of Utah
84105	Male	White	University of Utah
84120	Female	More Than One Race	Salt Lake Community College
84124	Female	More Than One Race	University of Utah
95695	Female	White	UC Davis
84003	Male	White	MountainLand Applied Technology College
84102	Female	Asian	Pittsburg State University
84109	Female	White	Salt Lake Community College
84093	Female	White	Salt Lake Community College
84095	Female	White	Salt Lake Community College
84003	Female	White	UVU
84010	Female	White	University of Utah
84121	Female	White	University of UTah
84121	Female	White	Salt Lake Community College
84025	Female	White	Utah Valley University
84088	Male	White	University of Utah
84032	Female	White	University of Georgia
84760	Female	White	Southern Utah University
84760	Female	White	Southern Utah University
84129	Female	White	Salt Lake Community College
84105	Male	More Than One Race	Utah Valley University
83001	Female	White	St. Lawrence University
84651	Female	White	Mountainland Applied Technical College
84115	Female	White	"Brigham Young University, ID"
49684	Female	White	Grand Valley State University
84116	Male	White	University of New Hampshire
84121	Female	White	Salt Lake Community College
84091	Male	White	University Of Utah
84121	Female	White	Salt Lake Community College
84010	Female	White	BYU Independent Study
84043	Female	White	Utah Valley State College
84095	Female	White	University of Utah
84010	Female	White	Weber State University
84116	Female	White	William Woods University
84054	Male	Native Hawaiian or Other Pacific Islander	University of Utah
84102	Female	White	Shippensburg University
84043	Female	White	Utah Valley University
84020	Female	White	Brigham Young University-Hawaii
84606	Male	White	Brigham Young University
84117	Female	White	N/A
84058	Female	White	Brigham Young University-Idaho
84124	Female	White	University of Utah
84108	Female	White	University of Utah
84109	Female	White	North Idaho College
84660	Female	White	University of Utah
83422	Female	White	Idaho State University
84067	Female	Asian	Weber State University
84108	Female	White	University of Utah
84095	Male	White	University of Utah
84065	Female	White	University of Utah
84104	Female	White	University of Utah
84092	Female	White	Utah State University
84108	Female	Black or African American	SALT LAKE COMMUNITY COLLEGE
84095	Female	White	SALT LAKE COMMUNITY COLLEGE
84124	Female	Asian	Salt Lake Community College
84108	Female	White	Salt Lake Community College
84103	Female	White	Sonoma State University
84014	Female	White	University of Utah
84015	Female	White	University of Utah
84109	Female	White	Salt Lake Community College
84088	Male	White	Salt Lake Community College
84120	Male	"White, More Than One Race"	Salt Lake Community College
84720	Female	White	Southern Utah University
84094	Male	White	University of Utah
85749	Female	White	The University of Arizona
84109	Male	White	University of Utah
84105	Male	White	Salt Lake Community College
84042	Female	White	Utah Valley University
84604	Female	White	Brigham Young University
15421	Female	White	None
84601	Female	White	Brigham Young University
84095	Female	White	UTAH STATE UNIVERSITY
84037	Female	White	Utah State University
84098	Male	White	Bachelor of Liberal Arts
84108	Female	White	University of Utah
85552	Male	White	Eastern Arizona College
84020	Female	White	University of Utah
84121	Female	White	Intermountain Christian High School
84088	Male	White	Salt Lake Community College
84033	Female	White	University of Utah
97034	Female	White	Oregon State University
84010	Female	Asian	UNIVERSITY OF UTAH
84604	Female	White	Utah State University
83713	Female	White	N/A
84003	Female	White	Brigham Young University
84111	Female	White	Riverside Community College
84119	Female	White	Salt Lake Community College
84020	Female	White	N/A
84043	Female	White	Utah Valley University
84124	Female	White	University of Utah
84096	Female	White	University of Utah
84081	Female	White	Salt Lake Community College
84037	Female	White	Weber State University
84106	Male	White	University of Utah
84047	Female	Asian	Salt Lake Community College
84105	Female	White	Utah State University
84108	Female	White	University of Utah
